zipcode,city,state,country
02129,Charlestown,MA,US
02130,Jamaica Plain,MA,US
02131,Roslindale,MA,US
02132,West Roxbury,MA,US
02133,Boston,MA,US
02134,Allston,MA,US
02135,Brighton,MA,US
02136,Hyde Park,MA,US
02137,Readville,MA,US
02138,Cambridge,MA,US
02139,Cambridge,MA,US
02140,Cambridge,MA,US
02141,Cambridge,MA,US
02142,Cambridge,MA,US
02143,Somerville,MA,US
02144,Somerville,MA,US
02145,Somerville,MA,US
02148,Malden,MA,US
02149,Everett,MA,US
02150,Chelsea,MA,US
02151,Revere,MA,US
02152,Winthrop,MA,US
02153,Medford,MA,US
02155,Medford,MA,US
02156,West Medford,MA,US
02163,Boston,MA,US
02169,Quincy,MA,US
02170,Quincy,MA,US
02171,Quincy,MA,US
02176,Melrose,MA,US
02180,Stoneham,MA,US
02184,Braintree,MA,US
02185,Braintree,MA,US
02186,Milton,MA,US
02187,Milton Village,MA,US
02188,Weymouth,MA,US
02189,East Weymouth,MA,US
02190,South Weymouth,MA,US
02191,North Weymouth,MA,US
02196,Boston,MA,US
02199,Boston,MA,US
02201,Boston,MA,US
02203,Boston,MA,US
02204,Boston,MA,US
02205,Boston,MA,US
02206,Boston,MA,US
02207,Boston,MA,US
02210,Boston,MA,US
02211,Boston,MA,US
02212,Boston,MA,US
02215,Boston,MA,US
02216,Boston,MA,US
02217,Boston,MA,US
02222,Boston,MA,US
02228,East Boston,MA,US
02238,Cambridge,MA,US
02239,Cambridge,MA,US
02241,Boston,MA,US
02266,Boston,MA,US
02269,Quincy,MA,US
02283,Boston,MA,US
02284,Boston,MA,US
02293,Boston,MA,US
02295,Boston,MA,US
02297,Boston,MA,US
02298,Boston,MA,US
02301,Brockton,MA,US
02302,Brockton,MA,US
02303,Brockton,MA,US
02304,Brockton,MA,US
02305,Brockton,MA,US
02322,Avon,MA,US
02324,Bridgewater,MA,US
02325,Bridgewater,MA,US
02327,Bryantville,MA,US
02330,Carver,MA,US
02331,Duxbury,MA,US
02332,Duxbury,MA,US
02333,East Bridgewater,MA,US
02334,Easton,MA,US
02337,Elmwood,MA,US
02338,Halifax,MA,US
02339,Hanover,MA,US
02340,Hanover,MA,US
02341,Hanson,MA,US
02343,Holbrook,MA,US
02344,Middleboro,MA,US
02345,Manomet,MA,US
02346,Middleboro,MA,US
02347,Lakeville,MA,US
02348,Lakeville,MA,US
02349,Middleboro,MA,US
02350,Monponsett,MA,US
02351,Abington,MA,US
02355,North Carver,MA,US
02356,North Easton,MA,US
02357,North Easton,MA,US
02358,North Pembroke,MA,US
02359,Pembroke,MA,US
02360,Plymouth,MA,US
02361,Plymouth,MA,US
02362,Plymouth,MA,US
02364,Kingston,MA,US
02366,South Carver,MA,US
02367,Plympton,MA,US
02368,Randolph,MA,US
02370,Rockland,MA,US
02375,South Easton,MA,US
02379,West Bridgewater,MA,US
02381,White Horse Beach,MA,US
02382,Whitman,MA,US
02420,Lexington,MA,US
02421,Lexington,MA,US
02445,Brookline,MA,US
02446,Brookline,MA,US
02447,Brookline Village,MA,US
02451,Waltham,MA,US
02452,Waltham,MA,US
02453,Waltham,MA,US
02454,Waltham,MA,US
02455,North Waltham,MA,US
02456,New Town,MA,US
02457,Babson Park,MA,US
02458,Newton,MA,US
02459,Newton Center,MA,US
02460,Newtonville,MA,US
02461,Newton Highlands,MA,US
02462,Newton Lower Falls,MA,US
02464,Newton Upper Falls,MA,US
02465,West Newton,MA,US
02466,Auburndale,MA,US
02467,Chestnut Hill,MA,US
02468,Waban,MA,US
02471,Watertown,MA,US
02472,Watertown,MA,US
02474,Arlington,MA,US
02475,Arlington Heights,MA,US
02476,Arlington,MA,US
02477,Watertown,MA,US
02478,Belmont,MA,US
02479,Waverley,MA,US
02481,Wellesley Hills,MA,US
02482,Wellesley,MA,US
02492,Needham,MA,US
02493,Weston,MA,US
02494,Needham Heights,MA,US
02495,Nonantum,MA,US
02532,Buzzards Bay,MA,US
02534,Cataumet,MA,US
02535,Chilmark,MA,US
02536,East Falmouth,MA,US
02537,East Sandwich,MA,US
02538,East Wareham,MA,US
02539,Edgartown,MA,US
02540,Falmouth,MA,US
02541,Falmouth,MA,US
02542,Buzzards Bay,MA,US
02543,Woods Hole,MA,US
02552,Menemsha,MA,US
02553,Monument Beach,MA,US
02554,Nantucket,MA,US
02556,North Falmouth,MA,US
02557,Oak Bluffs,MA,US
02558,Onset,MA,US
02559,Pocasset,MA,US
02561,Sagamore,MA,US
02562,Sagamore Beach,MA,US
02563,Sandwich,MA,US
02564,Siasconset,MA,US
02565,Silver Beach,MA,US
02568,Vineyard Haven,MA,US
02571,Wareham,MA,US
02573,West Chop,MA,US
02574,West Falmouth,MA,US
02575,West Tisbury,MA,US
02576,West Wareham,MA,US
02584,Nantucket,MA,US
02601,Hyannis,MA,US
02630,Barnstable,MA,US
02631,Brewster,MA,US
02632,Centerville,MA,US
02633,Chatham,MA,US
02634,Centerville,MA,US
02635,Cotuit,MA,US
02636,Centerville,MA,US
02637,Cummaquid,MA,US
02638,Dennis,MA,US
02639,Dennis Port,MA,US
02641,East Dennis,MA,US
02642,Eastham,MA,US
02643,East Orleans,MA,US
02644,Forestdale,MA,US
02645,Harwich,MA,US
02646,Harwich Port,MA,US
02647,Hyannis Port,MA,US
02648,Marstons Mills,MA,US
02649,Mashpee,MA,US
02650,North Chatham,MA,US
02651,North Eastham,MA,US
02652,North Truro,MA,US
02653,Orleans,MA,US
02655,Osterville,MA,US
02657,Provincetown,MA,US
02659,South Chatham,MA,US
02660,South Dennis,MA,US
02661,South Harwich,MA,US
02662,South Orleans,MA,US
02663,South Wellfleet,MA,US
02664,South Yarmouth,MA,US
02666,Truro,MA,US
02667,Wellfleet,MA,US
02668,West Barnstable,MA,US
02669,West Chatham,MA,US
02670,West Dennis,MA,US
02671,West Harwich,MA,US
02672,West Hyannisport,MA,US
02673,West Yarmouth,MA,US
02675,Yarmouth Port,MA,US
02702,Assonet,MA,US
02703,Attleboro,MA,US
02712,Chartley,MA,US
02713,Cuttyhunk,MA,US
02714,Dartmouth,MA,US
02715,Dighton,MA,US
02717,East Freetown,MA,US
02718,East Taunton,MA,US
02719,Fairhaven,MA,US
02720,Fall River,MA,US
02721,Fall River,MA,US
02722,Fall River,MA,US
02723,Fall River,MA,US
02724,Fall River,MA,US
02725,Somerset,MA,US
02726,Somerset,MA,US
02738,Marion,MA,US
02739,Mattapoisett,MA,US
02740,New Bedford,MA,US
02741,New Bedford,MA,US
02742,New Bedford,MA,US
02743,Acushnet,MA,US
02744,New Bedford,MA,US
02745,New Bedford,MA,US
02746,New Bedford,MA,US
02747,North Dartmouth,MA,US
02748,South Dartmouth,MA,US
02760,North Attleboro,MA,US
02761,North Attleboro,MA,US
02762,Plainville,MA,US
02763,Attleboro Falls,MA,US
02764,North Dighton,MA,US
02766,Norton,MA,US
02767,Raynham,MA,US
02768,Raynham Center,MA,US
02769,Rehoboth,MA,US
02770,Rochester,MA,US
02771,Seekonk,MA,US
02777,Swansea,MA,US
02779,Berkley,MA,US
02780,Taunton,MA,US
02783,Taunton,MA,US
02790,Westport,MA,US
02791,Westport Point,MA,US
02801,Adamsville,RI,US
02802,Albion,RI,US
02804,Ashaway,RI,US
02806,Barrington,RI,US
02807,Block Island,RI,US
02808,Bradford,RI,US
02809,Bristol,RI,US
02812,Carolina,RI,US
02813,Charlestown,RI,US
02814,Chepachet,RI,US
02815,Clayville,RI,US
02816,Coventry,RI,US
02817,West Greenwich,RI,US
02818,East Greenwich,RI,US
02822,Exeter,RI,US
02823,Fiskeville,RI,US
02824,Forestdale,RI,US
02825,Foster,RI,US
02826,Glendale,RI,US
02827,Greene,RI,US
02828,Greenville,RI,US
02829,Harmony,RI,US
02830,Harrisville,RI,US
02831,Hope,RI,US
02832,Hope Valley,RI,US
02833,Hopkinton,RI,US
02835,Jamestown,RI,US
02836,Kenyon,RI,US
02837,Little Compton,RI,US
02838,Manville,RI,US
02839,Mapleville,RI,US
02840,Newport,RI,US
02841,Newport,RI,US
02842,Middletown,RI,US
02852,North Kingstown,RI,US
02854,North Kingstown,RI,US
02857,North Scituate,RI,US
02858,Oakland,RI,US
02859,Pascoag,RI,US
02860,Pawtucket,RI,US
02861,Pawtucket,RI,US
02862,Pawtucket,RI,US
02863,Central Falls,RI,US
02864,Cumberland,RI,US
02865,Lincoln,RI,US
02871,Portsmouth,RI,US
02872,Prudence Island,RI,US
02873,Rockville,RI,US
02874,Saunderstown,RI,US
02875,Shannock,RI,US
02876,Slatersville,RI,US
02877,Slocum,RI,US
02878,Tiverton,RI,US
02879,Wakefield,RI,US
02880,Wakefield,RI,US
02881,Kingston,RI,US
02882,Narragansett,RI,US
02883,Peace Dale,RI,US
02885,Warren,RI,US
02886,Warwick,RI,US
02887,Warwick,RI,US
02888,Warwick,RI,US
02889,Warwick,RI,US
02891,Westerly,RI,US
02892,West Kingston,RI,US
02893,West Warwick,RI,US
02894,Wood River Junction,RI,US
02895,Woonsocket,RI,US
02896,North Smithfield,RI,US
02898,Wyoming,RI,US
02901,Providence,RI,US
02902,Providence,RI,US
02903,Providence,RI,US
02904,Providence,RI,US
02905,Providence,RI,US
02906,Providence,RI,US
02907,Providence,RI,US
02908,Providence,RI,US
02909,Providence,RI,US
02910,Cranston,RI,US
